area,cod_mun,cod_sec,municipio,provincia,y19,y15
municipios,18012,,Algarinejo,Grada,10150,9450
municipios,16013,,Algarra,Cuenca,,
municipios,29005,,Algarrobo,Málaga,12250,9450
municipios,29006,,Algatocín,Málaga,10850,8750
municipios,11004,,Algeciras,Cádiz,14350,12250
municipios,46029,,Algemesí,Valencia,15050,12250
municipios,25015,,Algerri,Lleida,18550,15050
municipios,28009,,Algete,Madrid,19950,17850
municipios,46030,,Algímia d'Alfara,Valencia,15050,12250
municipios,12008,,Algimia de Almocid,Castellón,12250,10500
municipios,46031,,Alginet,Valencia,15050,12950
municipios,11005,,Algodoles,Cádiz,10850,8750
municipios,49006,,Algodre,Zamora,11550,10850
municipios,19017,,Algora,Guadalajara,,
municipios,3012,,Algorfa,Alicante,12250,10150
municipios,25016,,Alguaire,Lleida,17150,14350
municipios,30007,,Alguazas,Murcia,12950,10850
municipios,3013,,Algueña,Alicante,13650,11550
municipios,4010,,Alhabia,Almería,10850,8750
municipios,4011,,Alhama de Almería,Almería,12250,9450
municipios,50020,,Alhama de Aragón,Zaragoza,15050,13650
municipios,18013,,Alhama de Grada,Grada,11550,9450
municipios,30008,,Alhama de Murcia,Murcia,15050,12950
municipios,13010,,Alhambra,Ciudad Real,11550,9450
municipios,29007,,Alhaurín de la Torre,Málaga,15750,12950
municipios,29008,,Alhaurín el Grande,Málaga,12250,9450
municipios,18014,,Alhendín,Grada,14350,11550
municipios,19018,,Alhóndiga,Guadalajara,13650,10850
municipios,10017,,Alía,Cáceres,11550,10150
municipios,44017,,Aliaga,Teruel,18200,15750
municipios,16014,,Aliaguilla,Cuenca,10850,9450
municipios,3014,,Alicante/Alacant,Alicante,15050,12950
municipios,4012,,Alicún,Almería,13300,10850
municipios,18015,,Alicún de Ortega,Grada,12250,9450
municipios,24003,,Alija del Infantado,León,14350,12950
municipios,25017,,Alins,Lleida,19250,15050
municipios,43010,,Alió,Tarrago,19250,15750
municipios,19019,,Alique,Guadalajara,,
municipios,10018,,Aliseda,Cáceres,10850,9450
municipios,42016,,Aliud,Soria,,
municipios,21002,,Aljaraque,Huelva,17850,15050
municipios,6009,,Aljucén,Badajoz,13300,10850
municipios,20006,,Alkiza,Gipuzkoa,20650,
municipios,33001,,Allande,Asturias,15050,12250
municipios,32001,,Allariz,Ourense,15750,12950
municipios,44021,,Allepuz,Teruel,13650,13650
municipios,33002,,Aller,Asturias,19250,17150
municipios,31011,,Allín/Allin,varra,,
municipios,31012,,Allo,varra,,
municipios,44022,,Alloza,Teruel,15750,12950
municipios,44023,,Allueva,Teruel,,
municipios,25019,,Almacelles,Lleida,15750,13650
municipios,29009,,Almáchar,Málaga,11550,8750
municipios,13011,,Almadén,Ciudad Real,12250,10150
municipios,41009,,Almadén de la Plata,Sevilla,11550,10150
municipios,13012,,Almadenejos,Ciudad Real,12950,10150
municipios,19020,,Almadrones,Guadalajara,,
municipios,13013,,Almagro,Ciudad Real,12950,10850
municipios,42017,,Almajano,Soria,15750,13650
municipios,42018,,Almaluez,Soria,15050,12950
municipios,2009,,Almansa,Albacete,14350,12250
municipios,24004,,Almanza,León,15050,13650
municipios,10019,,Almaraz,Cáceres,19250,17150
municipios,49007,,Almaraz de Duero,Zamora,14350,11550
municipios,16015,,La Almarcha,Cuenca,12250,10850
municipios,29010,,Almargen,Málaga,12950,10150
municipios,42019,,Almarza,Soria,19950,16450
municipios,26012,,Almarza de Cameros,La Rioja,,
municipios,46032,,Almàssera,Valencia,17150,14350
municipios,12009,,Almazora/Almassora,Castellón,15750,12950
municipios,25020,,Almatret,Lleida,16450,16800
municipios,42020,,Almazán,Soria,16450,13650
municipios,42021,,Almazul,Soria,,
municipios,12010,,Almedíjar,Castellón,16450,12950
municipios,13014,,Almedi,Ciudad Real,10150,9450
municipios,14004,,Almedinilla,Córdoba,11550,10150
municipios,18016,,Almegíjar,Grada,12950,12250
municipios,49008,,Almeida de Sayago,Zamora,12950,12250
municipios,25021,,Almer,Lleida,16450,14350
municipios,42022,,Almer de Soria,Soria,17150,16450
municipios,12011,,Almera,Castellón,16450,13650
municipios,47008,,Almera de Adaja,Valladolid,,
municipios,37027,,Almera de Tormes,Salamanca,16450,13650
municipios,37028,,Almendra,Salamanca,13650,11550
municipios,6010,,Almendral,Badajoz,10850,9450
municipios,45011,,Almendral de la Cañada,Toledo,10850,9100
municipios,6011,,Almendralejo,Badajoz,12250,10150
municipios,21003,,El Almendro,Huelva,13650,10850
municipios,16016,,Almendros,Cuenca,15050,10850
municipios,41010,,Almensilla,Sevilla,13650,11550
municipios,4013,,Almería,Almería,14350,12250
municipios,46033,,Almiserà,Valencia,14350,11550
municipios,50021,,Almochuel,Zaragoza,,
municipios,4014,,Almócita,Almería,12950,8750
municipios,13015,,Almodóvar del Campo,Ciudad Real,15050,12250
municipios,16017,,Almodóvar del Pir,Cuenca,12950,10850
municipios,14005,,Almodóvar del Río,Córdoba,11550,9450
municipios,29011,,Almogía,Málaga,11550,8750
municipios,19021,,Almoguera,Guadalajara,13650,11550
municipios,44018,,Almohaja,Teruel,,
municipios,10020,,Almoharín,Cáceres,11550,10150
municipios,46034,,Almoines,Valencia,15050,12950
municipios,50022,,La Almolda,Zaragoza,17850,15050
municipios,50023,,Almocid de la Cuba,Zaragoza,13650,11550
municipios,50024,,Almocid de la Sierra,Zaragoza,14350,13650
